"Project ID","ARB ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","ARB Project Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR866","NA","","ClimeCo LLC","ClimeCo LLC","Cedar Grove - Maple Valley OWC Composting Project","","","","Organic Waste Composting","Registered","Not ARB Eligible","King County","WASHINGTON","US","","","","334401","08/11/2011","11/16/2012","View","View","",
"CAR825","NA","","ClimeCo LLC","ClimeCo LLC","Cedar Grove Composting","","","Ruby Canyon Environmental, Inc.","Organic Waste Composting","Registered","Not ARB Eligible","Everett, Washington","WASHINGTON","US","","","","128445","05/26/2011","10/26/2012","View","View","http://www.cedar-grove.com/",
"CAR764","NA","","Cedar Rapids Linn County Solid Waste Agency","Cedar Rapids Linn County Solid Waste Agency","Cedar Rapids Linn County Solid Waste Agency Landfill Gas Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Linn County","IOWA","US","","","","66848","09/16/2010","","View","View","",
"CAR644","NA","","Central Clean Energy, LLC","Central Clean Energy, LLC","Central LFG to Energy Project","","","SCS Global Services","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Mahoning County, Ohio","OHIO","US","","","Project cancelled by developer and account closed 2/8/2013","19751","05/27/2010","02/08/2011","View","View","",
"CAR479","NA","","Camco International Group, Inc.","Camco International Group, Inc.","Central Sands Dairy LLC","Camco International Group, Inc.","N/A","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Nekoosa","WISCONSIN","US","","","","53826","09/24/2009","08/25/2010","View","View","",
"CAR1123","CALS5123            ","","Camco Offsets I, LLC","Camco Offsets I, LLC","Central Sands Dairy, LLC","Central Sands Dairy, LLC","Camco Offsets I, LLC","Dillon Consulting","Livestock - ARB Compliance","Registered","Active ARB Project","Nekoosa","WISCONSIN","US","","","","78130","02/03/2015","04/19/2016","View","View","",
"CAR502","NA","","Central Sanitary Landfill, Inc.","Central Sanitary Landfill, Inc.","Central Sanitary Landfill","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Pierson","MICHIGAN","US","","","","545401","11/10/2009","02/08/2011","View","View","",
"CAR1215","CAFR5315","","The Nature Conservancy","The Nature Conservancy","CF Ataya IFM","CF Ataya LLC","None","","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Campbell & Claiborne Counties","TENNESSEE","US","","","","3621175","10/29/2015","05/18/2018","View","View","",
"CAR1348","NA","","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","Ejido Chacalapa","Chacalapa - ASRTulancingo","","","","Forestry - MX","Registered","Not ARB Eligible","Cuautepec, Chacalapa","HIDALGO","MX","","","","1773","06/24/2019","03/09/2021","View","View","",
"CAR1474","NA","","Radicle Group Inc.","Radicle Group Inc.","Chapman Grassland Project","","","","Canada Grassland","Listed","Not ARB Eligible","Stettler County No.6","ALBERTA","CA","","","","","05/25/2021","","View","View","",
"CAR1275","CALS5375","","Ag Methane Advisors, LLC","Ag Methane Advisors, LLC","Chaput Family Farms","Chaput Family Farms","Ag Methane Advisors, LLC","","Livestock - ARB Compliance","Registered","Active ARB Project","North Troy","VERMONT","US","","","","6285","09/29/2017","11/13/2020","View","View","",
"CAR457","NA","","Charleston Clean Energy LLC","Charleston Clean Energy LLC","Charleston Landfill Gas Utilization Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Charleston, West Virginia","WEST VIRGINIA","US","","","","141190","07/22/2009","04/07/2011","View","View","",
"CAR627","NA","","Element Markets Emissions, LLC","Element Markets Emissions, LLC","Charlotte County Zemel Road Landfill Gas Capture Project","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Charlotte County, FL","FLORIDA","US","","","","149732","02/07/2020","05/04/2012","View","View","",
"CAR424","NA","","Chautauqua County","Chautauqua County","Chautauqua County","","","NSF Certification LLC","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Ellery, New York","NEW YORK","US","","","Exceeded regulatory threshold requiring LFG Destruction 6/2010. No longer eligible for crediting","459916","05/04/2009","07/23/2009","View","View","79.319016",
"CAR1490","CAFR6490","","Sierra Pacific Industries","Sierra Pacific Industries","CHD Refo","Sierra Pacific Industries","None","","Reforestation - ARB Compliance","Listed","Proposed Project","Shasta & Trinity Counties","CALIFORNIA","US","","","","","06/17/2021","","View","View","",
"CAR1264","CAFR5364","","Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.","Chugach Alaska Forest Carbon Project","Chugach Alaska Corporation","Forest Carbon Partners, L.P.","","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Gulf of Alaska region","ALASKA","US","","","","7239050","06/06/2017","08/15/2019","View","View","www.forestcarbonpartners.com",
"CAR1347","NA","","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","Ejido Cima de Togo","Cima de Togo - ASRTulancingo","","","","Forestry - MX","Registered","Not ARB Eligible","Cima de Togo","HIDALGO","MX","","","","5721","06/24/2019","03/09/2021","View","View","",
"CAR772","NA","","Citrus County Division of Solid Waste Management","Citrus County Division of Solid Waste Management","Citrus County, Florida Landfill Gas Flare Project","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Citrus County; Lecanto","FLORIDA","US","","","","144980","12/07/2010","02/22/2012","View","View","",
"CAR545","NA","","Garland Power & Light","Garland Power & Light","City of Garland Landfill Carbon Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","3175 Elm Grove, Rowlett, Texas","TEXAS","US","","","","951069","12/11/2009","10/25/2011","View","View","",
"CAR507","NA","","ISCCP Americas, Inc.","ISCCP Americas, Inc.","City of Lee's Summit Resource Recovery Park","","","LRQA  Americas Sustainability, Inc. (Formerly RMA)","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Jackson County, Missouri","MISSOURI","US","","","Project moved to completed on 2/26/2013, due to missing the continuous reporting requirement","5548","11/11/2009","06/22/2011","View","View","",
"CAR887","NA","","City of Thomasville, Georgia","City of Thomasville, Georgia","City of Thomasville MSW Landfill","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Thomas County, GA","GEORGIA","US","","","","476370","08/25/2011","09/06/2013","View","View","",
"CAR1472","NA","","Radicle Group Inc.","Radicle Group Inc.","Clark Grasslands Project","","","","Canada Grassland","Listed","Not ARB Eligible","Wheaton County","ALBERTA","CA","","","","","05/25/2021","","View","View","",
"CAR773","NA","","Trinity Carbon Management LLC","Trinity Carbon Management LLC","Clayton County Landfill Gas Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Clayton County","GEORGIA","US","","","","91210","07/12/2010","03/27/2012","View","View","",
"CAR1182","CAOD5222","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 16 and 17","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Ohio","OHIO","US","","","","245955","10/13/2015","03/22/2016","View","View","www.climeco.com",
"CAR1250","CAOD5333","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 18 and 19","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","226896","12/27/2016","04/24/2017","View","View","www.climeco.com",
"CAR1258","CAOD5338","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 20","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","72606","05/01/2017","08/14/2017","View","View","www.climeco.com",
"CAR1271","CAOD5366","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 21","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","140452","07/31/2017","11/30/2017","View","View","www.climeco.com",
"CAR1277","CAOD5327","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 22","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","53956","09/27/2017","04/10/2018","View","View","www.climeco.com",
"CAR1278","CAOD5328","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 23","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","44681","10/13/2017","08/17/2018","View","View","www.climeco.com",
"CAR1279","CAOD5329","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 24","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","56727","04/21/2018","08/31/2018","View","View","www.climeco.com",
"CAR1280","CAOD5330","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 25","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","71572","02/10/2018","08/03/2018","View","View","www.climeco.com",
"CAR1300","CAOD6300","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 26","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","123703","06/08/2018","11/16/2018","View","View","www.climeco.com",
"CAR1301","CAOD6301","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 27","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","50473","06/28/2018","11/16/2018","View","View","www.climeco.com",
"CAR1302","CAOD6302","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 28","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","East Liverpool, Ohio","OHIO","US","","","","58745","09/12/2018","12/26/2018","View","View","www.climeco.com",
"CAR1309","CAOD6309","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 29","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","East Liverpool, Ohio","OHIO","US","","","","97696","10/02/2018","04/26/2019","View","View","www.climeco.com",
"CAR1310","CAOD6310","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 30","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","East Liverpool, Ohio","OHIO","US","","","","140146","01/04/2019","05/28/2019","View","View","www.climeco.com",
"CAR1326","CAOD6326","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 31","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","East Liverpool, Ohio","OHIO","US","","","","56139","01/15/2019","06/24/2019","View","View","www.climeco.com",
"CAR1376","CAOD6376","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 32","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active Registry Project","East Liverpool, Ohio","OHIO","US","","","","96280","08/20/2019","02/18/2020","View","View","www.climeco.com",
"CAR1401","CAOD6401","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 33","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Active ARB Project","East Liverpool","OHIO","US","","","","119156","04/09/2020","08/27/2020","View","View","www.climeco.com",
"CAR1456","CAOD6456","","ClimeCo LLC","ClimeCo LLC","ClimeCo ODS Destruction 34","ClimeCo Corporation","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","East Liverpool","OHIO","US","","","","127338","09/25/2020","12/22/2020","View","View","www.climeco.com",
"CAR471","NA","","New England Waste Services of NY, Inc.","New England Waste Services of NY, Inc.","Clinton County Landfill Methane Destruction Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Morrisonville, NY","NEW YORK","US","","","","247047","07/23/2009","07/13/2011","View","View","",
"CAR535","NA","","Covanta Semass, L.P.","Covanta Semass, L.P.","CMW Landfill Methane Reduction Project","","","First Environment, Inc.","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Carver","MASSACHUSETTS","US","","","","41716","11/17/2009","06/05/2012","View","View","",
"CAR467","NA","","Coffee County Commission","Coffee County Commission","Coffee County Sanitary Landfill Gas Collection System","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Coffee County","ALABAMA","US","","","","416102","07/30/2009","04/05/2010","View","View","",
"CAR1335","NA","","ClimeCo Corp MCK NAP2, LLC.","ClimeCo Corp MCK NAP2, LLC.","Coffeyville NAP2","","","Ruby Canyon Environmental, Inc.","Nitric Acid N2O- Tertiary Catalyst","Registered","Not ARB Eligible","Coffeyville, Kansas","KANSAS","US","","","","355684","04/02/2019","08/31/2020","View","View","",
"CAR1382","CAFR6382","","Sierra Pacific Industries","Sierra Pacific Industries","Cohasset 2019","Sierra Pacific Industries","None","SCS Global Services","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Butte and Tehama Counties","CALIFORNIA","US","","","","","10/29/2019","","View","View","",
"CAR480","NA","","PPL EnergyPlus, LLC","PPL EnergyPlus, LLC","Colebrook Landfill","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Coos County; Colebrook","NEW HAMPSHIRE","US","","","","17535","09/24/2009","05/06/2011","View","View","",
"CAR1487","CAFR6487","","RenewWest","RenewWest","Collins - Modoc Reforestation","Collins Pine Company","RenewWest","","Reforestation - ARB Compliance","Listed","Proposed Project","Modoc County, CA","CALIFORNIA","US","","","","","05/03/2021","","View","View","",
"CAR1496","NA","CARC1502","Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.","COMUNIDAD RIO Y PAPUDOS","Comunidad Rio y Papudos","","","SCS Global Services","Forestry - MX","Listed","Not ARB Eligible","Canelas","DURANGO","MX","","","","","07/14/2021","","View","View","",
"CAR1285","NA","","INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC","EJIDO SANTIAGO COLTZINGO","Conservación y Captura de Carbono Co2ltzingo","","","","Forestry - MX","Registered","Not ARB Eligible","Santiago Coltzingo","PUEBLA","MX","","No Poverty;Zero Hunger;Clean Water and Sanitation;Decent Work and Economic Growth;Reduced Inequalities;Sustainable Cities and Communities;Climate Action;Life on Land","","26362","01/13/2018","04/10/2019","View","View","www.icico.org.mx",
"CAR1219","CAOD5260","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2015-3","Coolgas, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","108622","01/26/2016","05/10/2016","View","View","www.coolgas.com",
"CAR1222","CAOD5282","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2016-1","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","145594","03/08/2016","08/02/2016","View","View","www.coolgas.com",
"CAR1239","CAOD5339","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2016-3","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Ohio","OHIO","US","","","","133239","08/09/2016","10/24/2016","View","View","",
"CAR1248","CAOD5348","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2016-4","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","96564","12/19/2016","03/07/2017","View","View","www.agas.com",
"CAR1267","CAOD5347","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2017-5","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","El Dorado","ARKANSAS","US","","","","50793","07/18/2017","06/07/2018","View","View","www.agasamericas.com",
"CAR1269","CAOD5369","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2017-7","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","33184","07/21/2017","11/22/2017","View","View","www.agasamericas.com",
"CAR1308","CAOD6308","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2018-6","Coolgas, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Completed","Wood County, Bowling Green","OHIO","US","","","","60855","06/08/2018","08/21/2018","View","View","www.agasamericas.com",
"CAR1319","CAOD6319","","COOLGAS, INC.","COOLGAS, INC.","Coolgas 2019-2","Coolgas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Listed","Inactive","Wood County, Bowling Green, Ohio","OHIO","US","","","","","09/20/2018","","View","View","www.agasamericas.com",
"CAR596","NA","","COOLGAS, INC.","COOLGAS, INC.","Coolgas India ODS Project 1","","","First Environment, Inc.","Ozone Depleting Substances - Article 5 Imports","Completed","Not ARB Eligible","India","ARKANSAS","US","","","Reporting period ended 3/2010. Project completed.","683087","03/04/2010","05/12/2010","View","View","www.coolgas.com",
"CAR597","NA","","COOLGAS, INC.","COOLGAS, INC.","Coolgas India ODS project 2","","","First Environment, Inc.","Ozone Depleting Substances - Article 5 Imports","Completed","Not ARB Eligible","India","ARKANSAS","US","","","Reporting period ended 4/2011. Project completed.","551802","03/04/2010","10/22/2010","View","View","",
"CAR1023","NA","","COOLGAS, INC.","COOLGAS, INC.","Coolgas ODS 2013 Project #1","Coolgas, inc","none","","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","Bowling Green","OHIO","US","","","","108627","10/17/2013","06/04/2014","View","View","www.coolgas.com",
"CAR905","NA","","COOLGAS, INC.","COOLGAS, INC.","Coolgas US ODS Project 1","","","","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","El Dorado, AR","ARKANSAS","US","","","","197988","09/30/2011","01/10/2012","View","View","",
"CAR948","NA","","COOLGAS, INC.","COOLGAS, INC.","Coolgas US ODS Project 2","","","","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","Bowling Green, Ohio","OHIO","US","","","","163884","01/31/2012","04/17/2012","View","View","",
"CAR1151","CALS5151","","Gallo Cattle Company, a Limited Partnership","Gallo Cattle Company, a Limited Partnership","Cottonwood Dairy Livestock Gas Capture Project","Gallo Cattle Company, A  Limited Partnership","Ag Methane Advisors, LLC","","Livestock - ARB Compliance","Registered","Active ARB Project","Atwater, Merced County","CALIFORNIA","US","","","","70542","02/25/2015","12/21/2016","View","View","",
"CAR393","NA","","Grey K Trading Limited","Grey K Trading Limited","Cottonwood Dairy Livestock Gas Capture Project","","","First Environment, Inc.","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Merced County","CALIFORNIA","US","","","Redesginated as a Livestock Project (previously OWD). See CAR578 for 2008, 2009 reporting periods.","49522","08/05/2008","06/22/2009","View","View","",
"CAR578","NA","","Grey K Trading Limited","Grey K Trading Limited","Cottonwood Dairy Organic Waste Digestion Project","","","First Environment, Inc.","Organic Waste Digestion","Completed","Not ARB Eligible","Atwater, Merced County,","CALIFORNIA","US","","","Redesginated as a Livestock Project (previously OWD). See CAR393.","44457","01/21/2010","03/21/2011","View","View","",
"CAR813","NA","","Environmental Credit Corp.","Environmental Credit Corp.","Coyne Farms","Environmental Credit Corp.","N/A","First Environment, Inc.","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Livingston County, Avon, New York","NEW YORK","US","","","","2314","04/19/2011","08/02/2012","View","View","",
"CAR1114","CAFR5114","","Sierra Pacific Industries","Sierra Pacific Industries","Crane Valley","Sierra Pacific Industries","None","SCS Global Services","Improved Forest Management - ARB Compliance","Registered","Active Registry Project","In Butte and Plumas Counties north east of Chico","CALIFORNIA","US","","","","356040","02/13/2015","03/23/2017","View","View","",
"CAR503","NA","","Crow Wing County Solid Waste Management","Crow Wing County Solid Waste Management","Crow Wing County Landfill Gas Collection System","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Crow Wing County","MINNESOTA","US","","","","110612","10/16/2009","06/09/2010","View","View","",
"CAR1076","CALS5074","","CSE Operating I, LLC","CSE Operating I, LLC","CSE Arizona Facility","CSE Operating I, LLC","None","","Livestock - ARB Compliance","Registered","Active ARB Project","Buckeye, Arizona","ARIZONA","US","","","","105788","07/01/2014","03/23/2015","View","View","",
"CAR799","NA","","CSE Operating I, LLC","CSE Operating I, LLC","CSE AZ Facility I","","","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Maricopa County","ARIZONA","US","","","","21814","01/20/2011","05/05/2012","View","View","",
"CAR994","NA","","Dairy Dreams LLC","Dairy Dreams LLC","Dairy Dreams","Dairy Dreams, LLC","none","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Casco","WISCONSIN","US","","","","65502","06/03/2013","02/19/2014","View","View","",
"CAR1097","CALS5109","","3Degrees Group, Inc","3Degrees Group, Inc","Dairy Dreams Methane Reduction Project","Dairy Dreams, LLC","3Degrees Group, Inc","","Livestock - ARB Compliance","Registered","Active ARB Project","Near Green Bay","WISCONSIN","US","","","","67385","01/22/2015","02/24/2016","View","View","",
"CAR969","CALS5021","","WTE-Dairyland, LLC","WTE-Dairyland, LLC","Dairyland Digester","WTE - Dairyland, LLC","None","Ruby Canyon Environmental, Inc.","Livestock - ARB Compliance","Registered","Active ARB Project","New Franken near Green Bay","WISCONSIN","US","","","","168876","08/12/2013","03/11/2015","View","View","",
"CAR466","NA","","Dalton-Whitfield Regional Solid Waste Management Authority","Dalton-Whitfield Regional Solid Waste Management Authority","Dalton-Whitfield Landfill Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Whitfield County","GEORGIA","US","","","","343251","07/09/2009","07/28/2010","View","View","www.dwswa.org",
"CAR468","NA","","Davidson Gas Producers, LLC","Davidson Gas Producers, LLC","Davidson County Landfill Gas Destruction Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Davidson County, Lexington, NC","NORTH CAROLINA","US","","","","233261","06/25/2009","01/08/2010","View","View","www.dtebe.com",
"CAR473","NA","","Element Markets Emissions, LLC","Element Markets Emissions, LLC","Davis Landfill Gas Offset Project","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Layton, Utah","UTAH","US","","","","564112","07/30/2019","07/24/2019","View","View","www.wasatchintegrated.org",
"CAR1403","CAFR6403","","Sierra Pacific Industries","Sierra Pacific Industries","Deadwood","Sierra Pacific Industries","None","","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Shasta and Trinity Counties","CALIFORNIA","US","","","","","08/17/2020","","View","View","",
"CAR982","CALS5020","","U.S. Venture, Inc.","U.S. Venture, Inc.","Deer Run Digester","U.S. Venture, Inc.","None","","Livestock - ARB Compliance","Registered","Active ARB Project","Kewaunee County","WISCONSIN","US","","","","51053","08/12/2013","03/18/2015","View","View","www.energysystemsgroup.com",
"CAR398","NA","","EcoSecurities International Limited","EcoSecurities International Limited","Development Authority of the North Country (DANC) Landfill Gas Destruction Project","","","NSF Certification LLC","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Rodman, NY","NEW YORK","US","","","Moved to completed 3/14/2013 (reached end of crediting period)","472314","09/30/2008","12/23/2008","View","View","",
"CAR775","NA","","Camco International Group, Inc.","Camco International Group, Inc.","District 45 Dairy","Camco International Group, Inc.","N/A","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Hancock, Minnesota","MINNESOTA","US","","","","57676","09/09/2010","03/01/2012","View","View","",
"CAR1127","CALS5127","","Camco Offsets I, LLC","Camco Offsets I, LLC","District 45 Dairy","Riverview, LLP","Camco Offsets I, LLC","","Livestock - ARB Compliance","Completed","Terminated","Hancock","MINNESOTA","US","","","","59593","02/04/2015","03/17/2016","View","View","",
"CAR956","NA","","Camco International Group, Inc.","Camco International Group, Inc.","Double A Dairy","Camco International Group, Inc.","","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Lincoln County, ID","IDAHO","US","","","","131435","04/17/2012","06/20/2013","View","View","",
"CAR975","NA","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #10","Diversified Pure Chem, LLC","N/A","Ruby Canyon Environmental, Inc.","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","El Dorado","ARKANSAS","US","","","","31701","10/26/2012","01/30/2013","View","View","www.divpc.com",
"CAR981","NA","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #11","Diversified Pure Chem, LLC","N/A","Ruby Canyon Environmental, Inc.","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","El Dorado","ARKANSAS","US","","","","80612","11/21/2012","01/19/2013","View","View","www.divpc.com",
"CAR1003","NA","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #13","Diversified Pure Chem, LLC","none","","Ozone Depleting Substances - U.S.","Completed","Not ARB Eligible","El Dorado","ARKANSAS","US","","","","53490","05/31/2013","08/14/2013","View","View","www.divpc.com",
"CAR1012","CAOD5022","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #14","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado","ARKANSAS","US","","","","23276","09/11/2013","01/21/2014","View","View","www.divpc.com",
"CAR1016","CAOD5024","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #15","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado","ARKANSAS","US","","","","46275","10/15/2013","01/30/2014","View","View","www.divpc.com",
"CAR1025","CAOD5026","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #16","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado","ARKANSAS","US","","","","24874","11/06/2013","03/28/2014","View","View","www.divpc.com",
"CAR1047","CAOD5036","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #17","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado","ARKANSAS","US","","","","30587","01/16/2014","12/15/2014","View","View","www.divpc.com",
"CAR1059","CAOD5050","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #19","Diversified Pure Chem, LL","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado","ARKANSAS","US","","","","99696","03/04/2014","01/06/2015","View","View","www.divpc.com",
"CAR1071","CAOD5066","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #20","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","El Dorado, Arkansas","ARKANSAS","US","","","","17848","06/03/2014","02/10/2015","View","View","www.divpc.com",
"CAR1087","CAOD5078","","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","DPC Domestic ODS Destruction Project #21","Diversified Pure Chem, LLC","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Ohio","OHIO","US","","","","128161","07/22/2014","07/15/2015","View","View","www.divpc.com",
